17,174,191,one
17,175,191,one
18,173,190,one
18,172,189,one
19,170,189,one
20,169,188,one
21,168,188,one
22,166,187,one
23,165,187,one
26,161,185,one
73,101,166,two
74,101,166,two
75,99,165,two
76,98,165,two
79,94,163,two
79,94,163,two
81,90,162,two
84,88,162,two
87,85,161,two
93,80,158,two
157,31,152,three
160,30,152,three
161,29,151,three
160,29,151,three
163,27,150,three
162,27,148,three
164,26,148,three
166,25,146,three
169,24,142,three
175,22,135,three
217,11,129,four
219,11,128,four
218,12,126,four
218,12,125,four
220,12,124,four
218,12,122,four
220,12,120,four
221,12,116,four
222,13,109,four
226,16,96,four
243,40,83,five
243,39,83,five
244,40,79,five
244,39,80,five
243,41,77,five
244,40,76,five
243,41,74,five
243,42,69,five
244,46,65,five
245,58,53,five
252,97,37,six
252,99,38,six
251,99,36,six
252,100,35,six
252,99,34,six
252,100,34,six
252,101,34,six
251,103,32,six
252,112,27,six
253,123,23,six
252,161,12,seven
253,163,11,seven
252,163,13,seven
252,163,12,seven
252,163,12,seven
252,166,10,seven
252,167,11,seven
252,168,12,seven
251,174,10,seven
251,182,7,seven
241,210,5,eight
242,209,4,eight
241,210,5,eight
240,209,5,eight
239,210,5,eight
238,212,5,eight
237,212,6,eight
236,212,6,eight
234,215,6,eight
230,219,7,eight
194,229,13,nine
191,229,13,nine
189,229,13,nine
187,228,14,nine
186,228,14,nine
183,228,15,nine
181,228,15,nine
179,229,16,nine
173,227,16,nine
168,228,18,nine
113,223,28,ten
107,223,29,ten
105,222,30,ten
103,221,30,ten
101,223,30,ten
102,221,31,ten
97,222,31,ten
95,221,32,ten
90,220,33,ten
87,220,34,ten
